customer_id,age,gender,region,order_date,unit_price,quantity,delivery_days,rating
C001,22,Male,East,2024-01-05,1200,2,3,5
C002,28,FEMALE,West ,2024-01-07,3500,1,5,4
C003, ,Male,North,2024-01-08,1800,3,6,3
C004,41,Female,South,2024-01-10,7200,1,4,5
C005,19,female,East,2024-01-11,800,4,2,4
C006,27,Male,West,2024-01-13,-5400,1,7,3
C007,33,Female,North,2024-01-14,2600,2,5,
C008,46,Male,South,2024-01-15,2500,3,15,2
C009,31,Female,East,2024-01-17,3800,,4,4
C010,24,Male,West,2024-01-18,4100,2,3,5
C011,29,Female,North,2024-01-19,2200,2,6,3
C012,37,Male,South,2024-01-20,6100,1,5,4
C013,21,Female,East,2024-01-21,900,3,2,6
C014,44,Male,West,2024-01-22,7800,1,7,3
C015,32,Female,North,2024-01-23,3300,2,4,4
C016,26,Male,South,2024-01-24,4700,1,,3
C017,39,Female, east,2024-01-25,2900,2,5,4
C018,48,Male,West,2024-01-26,8200,1,8,2
C019,34,Female,North,2024-01-27,3600,2,4,5
C020,23,Male,South,2024-01-28,1500,3,3,5
